"Date_Added","Type","PB_Number","Bag_Number","Unique_Bag_ID","Weight","Material_Type","Strain","Operator","Operator_Group","Freezer_ID","Shelf_Number","Purpose"
"01/15/21","Entry","PB210115_SU4",1,"PB210115_SU4_1",400,"Solid","PP255","Destiny","Harvest","Freezer_B",2,"Batch Harvest"
"01/15/21","Entry","PB210115_SU5",1,"PB210115_SU5_1",410,"Solid","PP240","Destiny","Harvest","Freezer_B",2,"Batch Harvest"
"01/15/21","Entry","PB210115_SU6",1,"PB210115_SU6_1",420,"Solid","PP240","Destiny","Harvest","Freezer_B",2,"Batch Harvest"
"01/18/21","Removal","PB210115_SU3",1,"PB210115_SU3_1",350,"Solid","PP250","Jing","Experimental_2","Freezer_B",2,"Experiment 2 for Aim 1"
"01/19/21","Removal","PB210115_SU4",1,"PB210115_SU4_1",300,"Solid","PP255","Jing","Experimental_2","Freezer_B",2,"Experiment 2 for Aim 1"
"01/20/21","Removal","PB210115_SU5",1,"PB210115_SU5_1",410,"Solid","PP260","Jing","Experimental_2","Freezer_B",2,"Experiment 2 for Aim 1"
"01/22/21","Entry","PB210122_SU3456",1,"PB210122_SU3456_1",1800,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/22/21","Entry","PB210122_SU3456",2,"PB210122_SU3456_2",1700,"Solid","PP100","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/22/21","Entry","PB210122_SU12",1,"PB210122_SU12_1",270,"Liquid","PP300","Bob","Harvest","Freezer_A",1,"Batch Harvest"
"01/26/21","Removal","PB210122_SU12",1,"PB210122_SU12_1",130,"Liquid","PP300","Miguel","Experimental_1","Freezer_A",1,"Experiment 1 for Aim 3"
"01/26/21","Removal","PB210122_SU3456",2,"PB210122_SU3456_2",200,"Solid","PP100","Miguel","Experimental_1","Freezer_A",1,"Experiment 1 for Aim 3"
"01/27/21","Removal","PB210115_SU12",1,"PB210115_SU12_1",1600,"Solid","PP100","Jing","Processing","Freezer_A",1,"Production Run 2"
"01/27/21","Removal","PB210115_SU12",2,"PB210115_SU12_2",400,"Solid","PP100","Jing","Processing","Freezer_A",1,"Production Run 2"
"01/27/21","Removal","PB210122_SU3456",1,"PB210122_SU3456_1",1800,"Solid","PP100","Jing","Processing","Freezer_A",1,"Production Run 2"
"01/27/21","Removal","PB210122_SU3456",2,"PB210122_SU3456_2",1500,"Solid","PP100","Jing","Processing","Freezer_A",1,"Production Run 2"
"01/29/21","Entry","PB210129_SU123",1,"PB210129_SU123_1",1750,"Solid","PP100","Destiny","Harvest","Freezer_A",1,"Batch Harvest"
"01/29/21","Entry","PB210129_SU123",2,"PB210129_SU123_2",1910,"Solid","PP100","Destiny","Harvest","Freezer_A",1,"Batch Harvest"
"01/29/21","Entry","PB210129_SU45",1,"PB210129_SU45_1",520,"Liquid","PP300","Bob","Harvest","Freezer_A",2,"Batch Harvest"
"01/29/21","Entry","PB210129_SU6",1,"PB210129_SU6_1",450,"Solid","PP290","Bob","Harvest","Freezer_B",2,"Batch Harvest"
"03/20/21","Removal","PB210129_SU123",2,"PB210129_SU123_2",10,"Solid","PP100","Miguel","Experimental_1","Freezer_A",1,"Experiment 1.5 for Aim 3"
"03/20/21","Entry","PB210202_SU12",1,"PB210202_SU12_1",100,"Liquid","PP999","Bob","Harvest","Freezer_A",1,"Batch Harvest"
